tiktoker_name,tiktok_name,subscribers_count,views_avg,likes_avg,comments_avg,shares_avg
ekin.721,MOMO’s,22170000.0,26000000.0,2800000.0,2940000.0,11640000.0
dojacat,Doja Cat,22200000.0,25400000.0,5000000.0,3670000.0000000005,4680000.0
kiet.ac.quy,Kiệt Ắk Wỷ,2100000.0,20700000.0,3500000.0,3879999.9999999995,3390000.0
charlidamelio,charli d’amelio,135400000.0,18700000.0,2600000.0,5470000.0,3520000.0000000005
luvadepedreiro,Iran Ferreira (Lai),11400000.0,24800000.0,2600000.0,3270000.0000000005,2680000.0
badbunny,Bad Bunny,16100000.000000002,17600000.0,4000000.0,2800000.0,2620000.0
khaby.lame,Khabane lame,135200000.0,17700000.0,2300000.0,1800000.0,1120000.0
leomahalo,Leo Mahalo,6800000.0,19000000.0,2200000.0,1180000.0,1440000.0
swagboygorringe,Daniel Gorringe,5600000.0,9900000.0,1800000.0,2530000.0,3590000.0
jennmelon,Jenn Melon,2000000.0,11000000.0,2300000.0,1510000.0,2450000.0
jounggustav,Joung Gustav,1900000.0,16399999.999999998,2200000.0,990000.0,1340000.0
txt.bighitent,TOMORROW X TOGETHER,16200000.0,7700000.0,1800000.0,3320000.0000000005,1220000.0
pongamoslo_a_prueba,Pongámoslo a Prueba,30400000.0,16000000.0,2500000.0,630000.0,730000.0
bdylanhollis,B. Dylan Hollis,7600000.0,8600000.0,1600000.0,1150000.0,2000000.0
lyczak,👑Łyczuu👑,1500000.0,11800000.0,1400000.0,1610000.0000000002,860000.0
juandamc,JuanDa.,17100000.0,7500000.0,1700000.0,910000.0,1950000.0
lifeinanimati0n,A <3,74520000.0,6200000.0,1100000.0,880000.0000000001,4020000.0000000005
zlusha,Zlusha,2000000.0,7200000.0,1100000.0,1290000.0,2950000.0
amauryguichon,Amaury Guichon,5400000.0,11000000.0,1600000.0,580000.0,1330000.0
eupereiraoficial,Eu Pereira,4600000.0,12200000.0,1200000.0,570000.0,1150000.0
druskitv,DRUSKI,3200000.0,6400000.0,1200000.0,770000.0,2590000.0
adrianbliss,Adrian Bliss,5200000.0,7700000.0,1500000.0,540000.0,1600000.0
kimberly.loaiza,Kimberly Loaiza,61000000.0,9900000.0,1300000.0,1410000.0,450000.0
deborahyowa,Deborah yowa,10300000.0,12600000.0,68870000.0,1700000.0,910000.0
nekoglai,Николай,9400000.0,8500000.0,98230000.0,2250000.0,440000.00000000006
domelipa,Dominik,50700000.0,7900000.0,1200000.0,1730000.0,620000.0
diego.cr_,Diego Rodríguez,23810000.0,9100000.0,84500000.0,910000.0,1950000.0
addisonre,Addison Rae,87300000.0,9300000.0,1200000.0,1340000.0,590000.0
mastertingus,mastertingus,1500000.0,4200000.0,85920000.0,2510000.0,3379999.9999999995
santandave,Santan,1100000.0,6200000.0,1000000.0,2130000.0,1200000.0
machinegunkelly,Colson,3400000.0,10800000.0,82260000.0,1370000.0,900000.0
bellapoarch,Bella Poarch,88500000.0,11100000.0,1000000.0,1430000.0,160000.0
daddyyankee,daddyyankee,10400000.0,6000000.0,69630000.0,1810000.0000000002,2060000.0000000002
official_nct,NCT Official,7300000.0,3200000.0,1200000.0,2310000.0,1760000.0000000002
zeth,Zeth,10800000.0,6600000.0,1300000.0,409999.99999999994,1280000.0
larrayeeee,LARRAY,25600000.0,5400000.0,1200000.0,1760000.0000000002,409999.99999999994
mrbeast,MrBeast,34700000.0,6800000.0,1100000.0,1610000.0000000002,150000.0
jypestraykids,Stray Kids,10800000.0,2900000.0,1100000.0,2760000.0,1200000.0
iamferv,Fernanda,26100000.0,7800000.0,1100000.0,1030000.0000000001,380000.0
nicocaponecomedy,nicocapone.comedy,20300000.0,11800000.0,69180000.0,390000.0,1019999.9999999999
honeybobabear,HoneyBobaBear,7800000.0,10100000.0,1400000.0,500000.0,240000.0
masondenverr,mason,2000000.0,4400000.0,1200000.0,730000.0,1130000.0
nicoletv,Kayla Nicole,10200000.0,6100000.0,99930000.0,490000.00000000006,1000000.0
